Raman Shift(cm-1),"x:25.7$\mu m$, y:19.6$\mu m$","x:20.3$\mu m$, y:31.9$\mu m$"
1535.0,0.13645428938226048,0.06808985408339234
1536.0,0.1361279614607588,0.06575672094685005
1537.0,0.13601524448889063,0.06334119493251054
1538.0,0.13639962463986363,0.06141347667161591
1539.0,0.13738053462250907,0.06043059120492052
1540.0,0.13880753015793396,0.060556276365884634
1541.0,0.14038264522622035,0.06168167924282386
1542.0,0.14182903578567913,0.06360631923244944
1543.0,0.14294697294155032,0.06606762634502443
1544.0,0.14367222728205042,0.06880388202754593
1545.0,0.14409619453687336,0.07159855936904608
1546.0,0.14449910623478288,0.0743204061222231
1547.0,0.1451888915929744,0.07695016671786202
1548.0,0.14640732419871982,0.07952491140145831
1549.0,0.14828943858578925,0.08210620559839302
1550.0,0.1507848209759576,0.08474467704677205
1551.0,0.15366405214657747,0.08744877461880195
1552.0,0.1566587899843033,0.09019059738766111
1553.0,0.1595917559989075,0.09293117574898598
1554.0,0.1624149940008268,0.09563933401928569
1555.0,0.16523956042904983,0.09830662332635373
1556.0,0.1683233692504381,0.10095577048147437
1557.0,0.1721217385805818,0.10364879937596239
1558.0,0.1769279185260207,0.10645212207506922
1559.0,0.18291141628310573,0.1094193135979031
1560.0,0.19004061530580904,0.11258495537489088
1561.0,0.19798985188578083,0.11596653460664605
1562.0,0.20621148227932448,0.1195738755631763
1563.0,0.21418243862936162,0.12346317306892511
1564.0,0.2215787841817372,0.12778035028107235
1565.0,0.2283440608185444,0.13276970404714078
1566.0,0.23475192435834355,0.1387699097018596
1567.0,0.24140893425139992,0.1461855306841425
1568.0,0.2493028418758229,0.15558100405349382
1569.0,0.2596458362337307,0.16729592207651012
1570.0,0.2732917633318207,0.18141097475752063
1571.0,0.29091141203214155,0.197887388977562
1572.0,0.3129508678874727,0.2165294652780825
1573.0,0.33878676685480724,0.23675586885516473
1574.0,0.3674088407301881,0.2580045859692396
1575.0,0.3977688947386879,0.279950105807388
1576.0,0.42880857164415603,0.30251069044314666
1577.0,0.45964300668570396,0.32590974377648874
1578.0,0.48971538997813946,0.3506828850082295
1579.0,0.518898458281569,0.37765109563533883
1580.0,0.5475683555038827,0.40814163453584584
1581.0,0.5766715189651453,0.44278561281503986
1582.0,0.607246047400376,0.482128866914544
1583.0,0.6405396652153167,0.526573078487403
1584.0,0.6771356179786028,0.5754000933960602
1585.0,0.7169561263301533,0.6273801750160953
1586.0,0.7593495307466924,0.6811184079966939
1587.0,0.8031408381626057,0.7351241231020329
1588.0,0.8467148150352352,0.7878875265173422
1589.0,0.8881843653788726,0.8379658259493028
1590.0,0.925589130497161,0.8840172880954081
1591.0,0.9568027648270975,0.924393269458113
1592.0,0.9799654051221991,0.9576611294897733
1593.0,0.994596692431052,0.9826982161090522
1594.0,1.0,0.9975447184396964
1595.0,0.9960278060880183,1.0
1596.0,0.9834580371385486,0.9889431115820939
1597.0,0.9630581250272326,0.9637093430772627
1598.0,0.9353786360356358,0.9240627155199234
1599.0,0.9009741217242336,0.8706636818351213
1600.0,0.8604367281178963,0.805156890317265
1601.0,0.8144695248378523,0.7301365377045659
1602.0,0.7639794949429468,0.6489825658504446
1603.0,0.7100432615310059,0.5658558805787935
1604.0,0.6547128447133415,0.4852914304202626
1605.0,0.5999731126516133,0.4106699431698728
1606.0,0.5482807905305521,0.34526676495303016
1607.0,0.5016251303186204,0.2902000941820018
1608.0,0.461312307178922,0.24520873626485187
1609.0,0.4280006891875664,0.20932657248903122
1610.0,0.4017149186524869,0.18114748783591636
1611.0,0.3818744068576554,0.1590297157969677
1612.0,0.36744304770750813,0.14136777416754048
1613.0,0.3571432272044703,0.12680761656005152
1614.0,0.34975458652465613,0.11446211139281297
1615.0,0.34423570586728697,0.10380251645401489
1616.0,0.3399265566233741,0.09467380476293709
1617.0,0.3368329838686537,0.08725248570404977
1618.0,0.33543381886429113,0.08189419785162863
1619.0,0.33605419394811487,0.07860169200127584
1620.0,0.3387788627183003,0.0771791377041729
1621.0,0.343354295014788,0.07730718068993883
1622.0,0.34911083113788743,0.07851739976461049
1623.0,0.3550253835698109,0.08025452718735733
1624.0,0.35986410995969026,0.08195026168580544
1625.0,0.36237543346550294,0.08309550958816006
1626.0,0.36117081649331584,0.08318890564836581
1627.0,0.3557709628327575,0.08211524392680003
1628.0,0.34622914237860575,0.07990209787461743
1629.0,0.332891011655081,0.07671307433501152
1630.0,0.31642649604713474,0.07285049884368341
1631.0,0.2978171033292489,0.06870740769607114
1632.0,0.27790093765642215,0.0646387845151166
1633.0,0.25722497855919946,0.06090471047548812
1634.0,0.23617885347245318,0.057683790805924166
1635.0,0.2150565431371903,0.055069814537430796
1636.0,0.19414698027446348,0.05308295417109032
1637.0,0.1738513496279875,0.0517138439028288
1638.0,0.15485770960175904,0.050910939062672945
1639.0,0.13781864961746634,0.05058896498695664
1640.0,0.12346586688318245,0.05072061020505871
1641.0,0.1124918036097062,0.051300831591708576
1642.0,0.10543008864323038,0.05232890870043901
1643.0,0.1020920854486308,0.05373842946599853
1644.0,0.10181344803143161,0.05540534610575761
1645.0,0.10375945972370856,0.05717017796992595
1646.0,0.10691593346390876,0.05883178950388091
1647.0,0.11023753059365779,0.060169855078918366
1648.0,0.11279182869039485,0.06097413531687528
1649.0,0.11374391182225016,0.06100177426316338
1650.0,0.112773894935295,0.06020712180981393
1651.0,0.10996580099323776,0.058602753022436664
1652.0,0.1056054409153176,0.05625986111102014
1653.0,0.10015118819762307,0.05330138044092634
1654.0,0.09418124038883569,0.04987408560606904
1655.0,0.08830992823309737,0.04617027031806401
1656.0,0.08306231222694196,0.04239205255853464
1657.0,0.07881314143064073,0.03871332190661572
1658.0,0.07581421905005827,0.03531608933798174
1659.0,0.07417905911284504,0.032391862622647816
1660.0,0.07388806733102152,0.030163914670320424
1661.0,0.07478395803023075,0.028861543942977318
1662.0,0.07637388505180329,0.028536033130058275
1663.0,0.07819854500123812,0.02918541737756176
1664.0,0.07977419144004597,0.030677920477118942
1665.0,0.08066430348483415,0.03274121366411868
1666.0,0.08050608791206455,0.034948203173763175
1667.0,0.07916756556846548,0.03676444871763804
1668.0,0.07680070842317924,0.037686685690819746
1669.0,0.07372958607299118,0.03737977549578179
1670.0,0.07034455658724094,0.03570382052761569
1671.0,0.0670430186946777,0.032760534728467
