Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity Ratio_2_1,Intensity Ratio_3_1
82,0.9075968621964473,1590.0,2.6099070197881806,1345.0,1.1630353763973815,2685.0,2.875623670042253,1.2814449066987246
83,0.9644648989776308,1592.0,1.1571456236649103,1345.0,1.6319188420729314,2695.0,1.1997799244861356,1.6920458627398747
84,0.9503951407650415,1592.0,0.783597107028355,1348.0,1.8871808587332675,2694.0,0.8244961210529562,1.9856802479168187
85,0.9395273857045959,1596.0,1.6612175782772967,1347.0,1.0239551976174972,2689.0,1.768141731208262,1.0898620021060748
86,0.932394038857538,1595.0,1.8239245773579078,1346.0,0.9740738929961696,2689.0,1.9561735718438973,1.0447019740599177
87,0.9291725061883673,1593.0,1.7849457153326418,1345.0,0.97920112883909,2686.0,1.9210057373036251,1.0538421254584351
88,0.9518897581939604,1588.0,1.4440328353224245,1344.0,0.9708194158604777,2684.0,1.5170168844575207,1.019886397036599
89,0.9520349242907861,1590.0,1.411352600458658,1344.0,0.9651659281975743,2685.0,1.482458851506985,1.0137925653479258
90,0.9369665366112561,1589.0,1.5571412422187245,1344.0,1.0164696094428753,2679.0,1.6618963232672808,1.0848515605681708
91,0.9311279763216259,1594.0,1.5404145806745848,1346.0,1.0652562881102488,2687.0,1.6543532359106154,1.1440492770053907
92,0.9333713187805747,1593.0,1.7954727666978778,1345.0,1.1758047345184761,2686.0,1.923642531724262,1.2597395172316141
93,0.932779126526069,1594.0,1.9185731181123884,1347.0,1.1865808058951222,2687.0,2.0568353895929175,1.2720919370422468
94,0.9325819717344608,1595.0,1.5531746758532008,1347.0,1.182147397845664,2688.0,1.665456467021909,1.2676069596831787
95,0.9762525117385413,1591.0,0.4651299052422696,1346.0,0.41983783840959066,2691.0,0.4764442597068985,0.4300504565790363
96,0.9173110442610666,1596.0,1.724065006846635,1347.0,0.9072293488675588,2686.0,1.8794769970696728,0.989009512687565
97,0.9194949462179585,1593.0,1.8563299028525606,1344.0,0.9798313098724225,2685.0,2.0188581900182987,1.0656190269480414
98,0.9425543063838752,1588.0,1.7475398682430112,1340.0,0.9534019987759239,2676.0,1.8540468770945158,1.0115088248163293
99,0.9540884363332871,1591.0,1.8013309309289418,1343.0,1.0869646575450054,2681.0,1.8880125388079765,1.1392703403076372
100,0.9499009886626578,1591.0,2.035081203803776,1344.0,1.2868515025471097,2683.0,2.142414028507241,1.3547217214278682
101,0.920977652132954,1592.0,2.459984516966801,1345.0,1.2959733218006808,2684.0,2.671057773518779,1.4071713019303445
102,0.9499919788835419,1595.0,2.148981908480045,1346.0,1.0925379087932816,2688.0,2.2621053190423677,1.150049614184389
103,0.9624797375220967,1590.0,2.4589994189066524,1343.0,1.2579097223973652,2679.0,2.5548583757589998,1.3069467058453124
104,0.9460704125108262,1588.0,2.246906498006722,1341.0,1.3488354476886595,2677.0,2.374988656545699,1.4257241637109377
105,0.9120625726922169,1591.0,2.0204159479301422,1343.0,1.045122365170247,2681.0,2.2152163770587574,1.1458888857650036
106,0.9205595786681873,1594.0,1.9974589233834132,1346.0,1.0544054771442486,2684.0,2.169831230557855,1.1453962367864359
107,0.9462915911689361,1598.0,1.6384604093700819,1349.0,1.0393276132875848,2693.0,1.7314540514368544,1.0983164417679365
108,0.9467999847224087,1596.0,1.5160568494260038,1348.0,0.8818510979865718,2691.0,1.6012430015728136,0.9314016816816075
109,0.9418386568907733,1591.0,1.8051288724949541,1345.0,1.014097465319485,2687.0,1.916600958442395,1.0767210051318712
110,0.9374973863767413,1594.0,1.808356243888539,1345.0,1.1234804026257919,2687.0,1.9289187043790175,1.1983824370624023
111,0.920082538998952,1594.0,1.978592662766594,1345.0,0.9341050077952158,2685.0,2.150451268121335,1.015240446592455
112,0.905726019120895,1594.0,2.3288876918421524,1346.0,1.0440567785468675,2686.0,2.5712937937927296,1.1527291438091152
113,0.9337271709348317,1595.0,2.522554630150052,1346.0,1.105826085117161,2687.0,2.7015971138812565,1.1843139190327159
114,0.9473271659167242,1594.0,2.098020842302952,1347.0,1.1463624078444505,2689.0,2.2146739983675086,1.2101019046942678
115,0.9557653370534865,1593.0,1.1691494262054802,1347.0,1.5098254903663582,2694.0,1.2232599162989444,1.5797031256866614
116,0.9613922032190402,1592.0,1.1778640749078757,1345.0,1.5305722971230624,2690.0,1.225164996100468,1.5920373516637958
117,0.9620523835387966,1594.0,1.6247666592601127,1346.0,1.0998797235069393,2686.0,1.6888546684782375,1.1432638620582811
118,0.9640629779243175,1594.0,1.5543672540346696,1347.0,0.9733236724896289,2686.0,1.612308832127659,1.0096059020804329
119,0.9740501801875333,1590.0,1.0641139226127228,1346.0,0.670462929468118,2688.0,1.0924631443606423,0.6883248349063846
120,0.9541029764555101,1591.0,1.1477941257016342,1345.0,0.8025668964690675,2687.0,1.2030086416517494,0.8411742927902828
121,0.9348553198698639,1593.0,1.8086265940370592,1346.0,1.0755665884663648,2686.0,1.9346593591496364,1.1505166260551296
122,0.9082221491096414,1595.0,1.7427864735498773,1346.0,1.0301980946331397,2688.0,1.9188988897247061,1.1343018837880965
123,0.9249967803366418,1594.0,1.6705808073543749,1346.0,0.9324639098972229,2684.0,1.806039591560942,1.008072600596365
124,0.9096826315788191,1593.0,2.05263018808091,1346.0,0.9926582537149883,2687.0,2.2564245120503443,1.0912138137584961
125,0.920198595766846,1589.0,2.1282334195478048,1344.0,1.0073686563388622,2682.0,2.3127979431160126,1.0947296170337808
126,0.9192924358365471,1592.0,1.7798076729596848,1344.0,0.9907536158139609,2683.0,1.936062566793642,1.0777349809393186
127,0.9298779184463285,1594.0,1.5152747060231258,1347.0,0.9451901875408373,2687.0,1.6295415515994809,1.0164669671047712
