Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
10,0.18002565888920308,1534.0226545180924,27.1458346703897,0.9636656037289444,1582.5077196368086,26.18149927746558,0.061273334839257815,1298.6631744579322,48.181175446105904,0.14122145398164937,2584.425911371104,79.01523467879292,[0.04378808 0.05745929 0.05325544 0.04786589],[254. 281. 306. 333.],0.06358360680526323,0.14654611873162957
11,0.20480667757757084,1533.5865979267796,29.175086446023872,0.9431784842483104,1583.1543766006043,28.721784662799934,0.07041890610015654,1298.5507554024548,52.49592568503318,0.14234600225244423,2583.018708151057,86.14942520553315,[0.05170168 0.06840161 0.06189638 0.05197242],[254. 281. 305. 332.],0.07466127278791632,0.15092159610266176
12,0.20006024282605495,1535.7811835857808,25.997185398035377,0.9552204385888767,1584.7309310557682,26.277922872472033,0.06535953480278894,1299.5072741284587,47.74676600675523,0.15297181011297672,2585.5393589141963,82.17737350532967,[0.04096323 0.05949159 0.04847324 0.04248993],[254. 281. 306. 334.],0.06842350955067811,0.1601429407634516
13,0.21400765808867916,1531.2050644492558,31.638537362445927,0.9339570513918101,1580.9278770101575,29.798599338045232,0.06643805373207574,1298.3333189576251,51.3089897010496,0.15660368931573787,2579.504888562706,93.21991475946513,[0.05709658 0.06411553 0.07206344 0.05833313],[214. 281. 305. 332.],0.07113609092952167,0.16767761331461922
14,0.19605534659319182,1532.857196747869,29.378277565018827,0.9555365477630177,1581.490271473213,29.562865230504944,0.05255650594895793,1299.4817100769308,50.82682673469851,0.1684637459513181,2581.296633894283,90.23478256538768,[0.05418662 0.07059422 0.06460304],[254. 282. 305.],0.05500208869246983,0.17630277601176458
15,0.1883979094108959,1526.0514579488902,30.905664105825778,0.969786326934837,1575.3554136071457,34.16379463063883,0.056952513676532555,1304.3443940793834,76.57255425845355,0.18574106741372273,2575.805673037282,100.28531648921243,[0.05170513 0.0490206  0.06070427 0.05887273],[212. 253. 279. 304.],0.058726868068495024,0.1915278265479229
16,0.23228856091400688,1539.7370526007078,25.250620502075236,0.930855640375046,1589.465840149568,27.810299017640045,0.08689010953866105,1304.4966205161559,61.64228261479736,0.1447772241048426,2590.165882909312,82.65948453515036,[0.05545362 0.09195007 0.05890371],[256. 283. 308.],0.0933443444610301,0.15553133893727195
17,0.22594006085715354,1533.1181920944152,34.84538851621256,0.9171432127310125,1584.176409821597,32.51481903192135,0.09696836099243683,1301.1160646941617,59.625341304233075,0.16231084148490613,2579.9042646393987,101.01148171150862,[0.09048177 0.08745638 0.08253188],[281. 304. 332.],0.10572870152273212,0.17697436914087486
18,0.18167538005865874,1536.181347010049,27.952993193414212,0.9474679842847835,1584.671079502126,26.86307004864535,0.08258954362026115,1302.4248671430773,56.607211841095875,0.1481955001656781,2586.4837277064494,84.44492599498886,[0.05645905 0.07854764 0.06159944 0.0550702 ],[257. 283. 307. 333.],0.08716869064721552,0.1564121454484255
19,0.1798162991777938,1538.2729848444467,23.11119116180238,0.9682162501777459,1586.1588410268091,23.538635394127176,0.06125758139399337,1300.928578023043,44.438469563115795,0.149274644167466,2589.51165719371,73.3075187930198,[0.03938886 0.06066723 0.04179334],[256. 282. 307.],0.06326849129287765,0.15417490063822212
